global_rank,entity_rank,entity_type,entity_name,hotspot_score,total_violations,parking_related_violations,peak_hour_violations,recency_weight_sum,location_diversity
2924,2703,Street/Location,Peenya,0.3,1,1,0,0.30503861616868905,1
2925,2705,Street/Location,Ibrahim Sahib Street,0.3,1,1,0,0.30447542535460104,1
2926,2702,Street/Location,Upper Pipeline Road,0.3,1,1,0,0.30477097075817255,1
2927,2710,Street/Location,Doddakannalli,0.29,1,1,0,0.2952769055587036,1
2928,2709,Street/Location,Doddakannelli Kadubeesanahalli Road,0.29,1,1,0,0.28848753505959207,1
2929,2708,Street/Location,NAT Road,0.29,1,1,0,0.28840091525942757,1
2930,2707,Street/Location,Yeswantipura Road,0.29,1,1,0,0.2884941991986225,1
2931,2706,Street/Location,Raghuvanahalli - Hosakote Road,0.29,1,1,0,0.29119914464773355,1
2932,2711,Street/Location,10th G Main Road,0.28,1,1,0,0.28408979818683266,1
2933,2714,Street/Location,Meteorological Centre,0.28,1,1,0,0.2821148278404974,1
2934,2712,Street/Location,Bhattarahalli Main Road,0.28,1,1,0,0.28416199457671487,1
2935,2713,Street/Location,United Telugu Kitchens,0.28,1,1,0,0.28398481799895664,1
2936,2721,Street/Location,Prestige Beta Flyover,0.27,1,1,0,0.2758128011742778,1
2937,2719,Street/Location,Iskcon - Sarjapur Road,0.27,1,1,0,0.2758319156637086,1
2938,2715,Street/Location,Opera Circle,0.27,1,1,0,0.2714577414926851,1
2939,2720,Street/Location,3/2,0.27,1,1,0,0.2758319156637086,1
2940,2718,Street/Location,Haines Cross Road,0.27,1,1,0,0.27780140252181446,1
2941,2717,Street/Location,Star Circle,0.27,1,1,0,0.27206039415451616,1
2942,2716,Street/Location,35,0.27,1,1,0,0.2713323569821676,1
2943,2725,Street/Location,Sabha,0.26,1,1,0,0.2653508676184981,1
2944,2722,Street/Location,Doddamane,0.26,1,1,0,0.26507517870574593,1
2945,2724,Street/Location,Theatre Road,0.26,1,1,0,0.2649405017242472,1
2946,2723,Street/Location,12th C Main Road,0.26,1,1,0,0.2627281845695774,1
2947,2726,Street/Location,Fj Merrit Hydrotherapy And Wellness,0.25,1,1,0,0.25700760579288046,1
2948,2727,Street/Location,Chikka Banaswadi Main Road,0.25,1,1,0,0.25153938532833214,1
2949,2733,Street/Location,Sri SV Narayanaswamy Rao Marg,0.24,1,1,0,0.24561379886099216,1
2950,2734,Street/Location,Airlines,0.24,1,1,0,0.24747040002107332,1
2951,2732,Street/Location,Mill Corner Road,0.24,1,1,0,0.24173557874898796,1
2952,2729,Street/Location,Hanumanthe Gowder Main Road,0.24,1,1,0,0.23946797192214567,1
2953,2730,Street/Location,Prestige Estates Limited,0.24,1,1,0,0.2474303872925062,1
2954,2728,Street/Location,DSR Elegance Street,0.24,1,1,0,0.24157369431402953,1
2955,2731,Street/Location,Public Library Rama Mandira Ground,0.24,1,1,0,0.24026031442580276,1
2956,2736,Street/Location,Chikkabanavara Main Road,0.23,1,1,0,0.2360900214185615,1
2957,2735,Street/Location,Nrupatunga Nagar,0.23,1,1,0,0.23477391306269357,1
2958,2737,Street/Location,BDA Main Road,0.23,1,1,0,0.23415106382842468,1
2959,2738,Street/Location,Junnasandra Road,0.22,1,1,0,0.22067518714921544,1
2960,2740,Street/Location,Sampigehalli Road,0.22,1,1,0,0.2206344101425417,1
2961,2746,Street/Location,Century Breeze,0.22,1,1,0,0.22538392445393624,1
2962,2747,Street/Location,Malleshwaram Circle,0.22,1,1,0,0.2206344101425417,1
2963,2741,Street/Location,225/A,0.22,1,1,0,0.22042554621582078,1
2964,2739,Street/Location,Choodasandra Road,0.22,1,1,0,0.22379639306781135,1
2965,2742,Street/Location,Si Nonna's,0.22,1,1,0,0.22381707280992025,1
2966,2745,Street/Location,Puttana Road,0.22,1,1,0,0.22425178908333135,1
2967,2744,Street/Location,Mahalakshmi Layout,0.22,1,1,0,0.22073126783901997,1
2968,2743,Street/Location,Urban Ladder,0.22,1,1,0,0.22561312113277204,1
2969,2753,Street/Location,Iblur Flyover,0.21,1,1,0,0.2103666117736069,1
2970,2752,Street/Location,Reliance General Insurance Co Ltd,0.21,1,1,0,0.2186859492605577,1
2971,2751,Street/Location,A,0.21,1,1,0,0.21804533044238766,1
2972,2750,Street/Location,Anjaneya Temple Street,0.21,1,1,0,0.21869605278480322,1
2973,2749,Street/Location,Gurushree Grand,0.21,1,1,0,0.21365271698127355,1
2974,2748,Street/Location,KR Pura Market,0.21,1,1,0,0.21072165225929332,1
2975,2755,Street/Location,Tharavad,0.21,1,1,0,0.21573068024082748,1
2976,2754,Street/Location,IMA Junction,0.21,1,1,0,0.210356893060647,1
2977,2756,Street/Location,New Udupi Upahar,0.21,1,1,0,0.218721313637686,1
2978,2760,Street/Location,Urvashi,0.2,1,1,0,0.2034699806936127,1
2979,2757,Street/Location,R R Enterprieses,0.2,1,1,0,0.20085948399472617,1
2980,2759,Street/Location,JP Nagar 1st Phase,0.2,1,1,0,0.20385104977248786,1
2981,2761,Street/Location,Corporation School,0.2,1,1,0,0.20871604232095528,1
2982,2762,Street/Location,Dr Ravi Labs & Research Center,0.2,1,1,0,0.2035640055427609,1
2983,2766,Street/Location,Mosque Cross Road,0.2,1,1,0,0.20144495723472325,1
2984,2758,Street/Location,Jalageramma Temple Road,0.2,1,1,0,0.20448302791992423,1
2985,2765,Street/Location,Daddy,0.2,1,1,0,0.20607631863339376,1
2986,2767,Street/Location,Public Toilets,0.2,1,1,0,0.20921806452865022,1
2987,2763,Street/Location,Fitness Freak,0.2,1,1,0,0.20846066762985757,1
